Tables of exospheric zonal harmonic expansion coefficients from
Hodges, R.R., "Monte Carlo Simulation of the terestrial exosphere"
               J. Geophys. Res., 99, 23229-23247, 1994

_________________________________________________________________________________________________________
Table 2.  Equinox, F10.7 = 80
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
11688    3481      0  -106  -742  -687     0     0   125   154     0   -34   -20     0     0   -25    90
12386    2738      0  -114  -551  -640     0     0    96    76     0    34   -74     0     0   -67   146
13202    2143      0     0  -546  -629     0     0   183   115     0   123   -18     0     0    -3    95
14169    1645      0    -8  -577  -640     0     0   233   135     0    99    -9     0     0   -46   127
15328    1250      0     5  -430  -585     0     0   237    59     0    22    26     0     0   -37   -30
16743     934      0    17  -170  -385     0     0   436   143     0    25    12     0     0   107   -51
18505     684      0   -51  -208  -758     0     0   570    -3     0   -84   212     0     0    50   134
20757     491      0  -210  -270 -1059     0     0   809  -239     0   -55   212     0     0  -107   132
23731     341      0  -215  -201 -1361     0     0  1021  -320     0     3    28     0     0    60   -34
27839     222      0  -278  -549 -1978     0     0  1111  -100     0   175   165     0     0  -165   -87
33877     133      0  -689  -403 -2473     0     0  1653    36     0   213    48     0     0  -227  -197
43629      69      0 -1599  -233 -3302     0     0  2008   220     0   375  -142     0     0    49  -250
62126      25      0 -2536  -341 -3822     0     0  2513  -162     0    59    86     0     0    -2    20

_________________________________________________________________________________________________________
Table 5.  Solstice, F10.7 = 130
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
_________________________________________________________________________________________________________
 6640  153047  -4922 -2278 -4561 -2321     9   732  -196  -155   578  -221   201   262   379   -52   268
 6648  146344  -4884 -2222 -4563 -2279     2   688  -213  -115   531  -267   211   240   435   -60   260
 6663  136633  -4813 -2154 -4531 -2199   -45   662  -159  -118   507  -256   176   209   368   -90   223
 6686  125629  -4770 -2067 -4459 -2169   -40   664  -140  -173   523  -243   198   189   387  -128   271
 6717  114754  -4628 -2010 -4376 -2103   -89   602  -122  -167   512  -234   175   193   384  -108   227
 6756  104688  -4567 -1942 -4332 -2065  -134   588  -113  -132   508  -229   191   221   362  -116   249
 6803   95579  -4407 -1862 -4235 -2064  -104   571  -114  -122   499  -239   126   206   393  -103   248
 6859   86768  -4239 -1726 -4102 -2047  -122   574   -74  -102   446  -228    88   178   381  -132   197
 6925   78570  -4043 -1613 -3981 -1994  -120   544   -23  -108   411  -201    66   153   364  -121   196
 7000   71054  -3872 -1551 -3847 -1954  -171   511   -38  -127   420  -161    68    92   344  -142   201
 7085   64328  -3702 -1475 -3734 -1914  -168   419   -50   -97   386  -190    23    91   326  -151   196
 7182   57911  -3551 -1398 -3615 -1842  -200   357   -49   -96   409  -168     3    78   335  -142   151
 7290   51870  -3392 -1300 -3420 -1750  -192   333   -53   -78   369  -172     3    76   338  -107    93
 7410   46252  -3125 -1178 -3262 -1697  -166   321   -41   -70   351  -180   -34    60   285  -124    49
 7545   40959  -2960 -1090 -3147 -1603  -172   259    -9   -65   301  -202   -85    34   237   -99    36
 7695   36017  -2692  -993 -3016 -1530  -146   243    -8   -87   255  -238   -90     9   265   -87    51
 7861   31453  -2514  -916 -2806 -1448  -159   229    33   -64   231  -244  -149    57   261   -71    34
 8046   27311  -2288  -787 -2645 -1341  -181   178    53   -93   229  -188   -89    24   249   -59    94
 8252   23499  -2055  -694 -2418 -1214  -140   180    87   -50   207  -193   -46   -59   205   -71    43
 8481   20016  -1819  -609 -2207 -1184   -91   102    54   -69   157  -202   -93   -29   162   -60    37
 8736   16929  -1543  -489 -2062 -1117  -196    62    92   -16   108  -163   -90   -36   133  -109    23
 9021   14245  -1362  -372 -1892 -1045  -220   -19    90   -64    78  -110   -97   -36   108   -47    34
 9340   11870  -1110  -332 -1668  -952  -196    48    74  -104    22  -145     3   -67   104   -74    39
 9698    9834   -889  -230 -1500  -812   -76   -10   121   -79   -79  -123   -45   -62    85    -7   -10
10103    8115   -750  -228 -1254  -783  -124   -38    67   -64    32  -116   -73  -106   127    20   -50
10562    6604   -555  -193 -1115  -763   -72   -23   158  -118    29   -65   -12    -6    97    27    28
11086    5308   -393  -153 -1046  -742   -44   -50   113  -149    49  -165   -18   -31    89     1     3
11688    4232   -257  -160  -731  -759   -90   -37    99     7    80  -148   -87    -6    -4    59    81
12386    3336     63  -138  -655  -650   -41  -179   201   -15   -15   -92   -50   -68   -30    18   -42
13202    2581     -7  -155  -597  -590   -44   -90   270   118    44   -44   -52    33    32    56    90
14169    1995    -91  -132  -410  -547   112   -97   326   127   -68     0   -57    99    92   136   200
15328    1515     52  -172  -270  -541   142    -8   393    70   -90    41   -33   -19   133   138    53
16743    1128   -168  -302  -230  -442   168   -17   412   -26   104   -19   -19   -83   173     5    53
18505     824   -108  -285  -133  -375   253   -48   486   -23    82   -83  -122  -194   106   -45    28
20757     586    236  -277  -101  -453   411  -110   639  -129   -27   -48    57  -111   133   -98    38
23731     402   -226  -414  -182  -650   581   -49   689   -68   -71   -28  -106   -57    59    13    76
27839     263   -606  -869  -135 -1055  1077     1  1048     8   435    25   148   -98   140   -10    62
33877     156   -635 -1179  -317  -958  1174    26  1421  -180   233    82  -128   115   -36  -103    24
43629      81  -1094 -1518  -233 -1392  1620   359  1626  -245   277     0  -166    13   -54   -81   168
62126      29  -1594 -2506  -530 -1631  1982   143  1820    97     0  -302  -202   -90   -82  -194  -131

_________________________________________________________________________________________________________
Table 6.  Equinox, F10.7 = 180
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
_________________________________________________________________________________________________________
 6640   71521      0 -2254 -4277 -1898     0     0   -80  -104     0  -387   265     0     0    20   392
 6648   69100      0 -2206 -4267 -1864     0     0  -168   -70     0  -372   231     0     0    76   474
 6663   64935      0 -2076 -4337 -1850     0     0  -148  -156     0  -347   172     0     0    16   434
 6686   59854      0 -2032 -4268 -1743     0     0   -90  -141     0  -365   215     0     0    47   408
 6717   54723      0 -1900 -4189 -1623     0     0   -22  -145     0  -397   253     0     0    76   363
 6756   50207      0 -1777 -4152 -1540     0     0   -58  -134     0  -409   187     0     0    67   318
 6803   46009      0 -1690 -4082 -1560     0     0   -39   -91     0  -395   256     0     0    54   322
 6859   42175      0 -1607 -3940 -1612     0     0     9   -44     0  -328   291     0     0    89   256
 6925   38701      0 -1528 -3884 -1591     0     0    45   -39     0  -341   219     0     0    97   223
 7000   35323      0 -1360 -3793 -1601     0     0    45   -87     0  -381   201     0     0    41   206
 7085   32273      0 -1277 -3684 -1614     0     0    26  -126     0  -378    73     0     0    -1   161
 7182   29336      0 -1245 -3491 -1494     0     0   -26  -104     0  -403    -1     0     0     9   128
 7290   26621      0 -1157 -3352 -1503     0     0    34  -133     0  -376    10     0     0    23    74
 7410   24064      0 -1089 -3214 -1382     0     0    51   -94     0  -381    16     0     0   -12   109
 7545   21551      0 -1036 -3070 -1305     0     0    73   -23     0  -274     8     0     0   -42    67
 7695   19253      0  -979 -2986 -1215     0     0    50    -7     0  -213   -35     0     0   -15    86
 7861   17077      0  -882 -2749 -1105     0     0    88   -59     0  -327   -52     0     0    12    77
 8046   15093      0  -751 -2551 -1104     0     0    -7     0     0  -199    -4     0     0    42   148
 8252   13221      0  -597 -2377  -998     0     0    80    65     0  -228   -49     0     0    44   127
 8481   11511      0  -527 -2198  -962     0     0    31    46     0  -228   -27     0     0    -6    43
 8736    9920      0  -445 -2044  -953     0     0    97    38     0  -243   -47     0     0   -44    36
 9021    8494      0  -228 -1873  -867     0     0    39    47     0  -228    23     0     0    48    27
 9340    7268      0  -219 -1678  -853     0     0   -40    61     0  -243    31     0     0    -5    10
 9698    6127      0  -182 -1524  -826     0     0    29   -36     0  -202   -50     0     0    57    34
10103    5124      0  -176 -1474  -783     0     0    61   -20     0  -159   -54     0     0    53     0
10562    4249      0  -131 -1286  -665     0     0    29   -76     0  -153   -62     0     0     4   -28
11086    3500      0  -105 -1176  -701     0     0   113     2     0  -156   -91     0     0    35   -18
11688    2842      0   -33  -952  -586     0     0   127   -13     0   -51   -83     0     0   180  -156
12386    2282      0   -74  -798  -479     0     0   145    18     0   -60   -32     0     0   117   -27
13202    1822      0  -245  -720  -416     0     0   204    49     0   -52     2     0     0   217   -63
14169    1430      0  -286  -519  -409     0     0   342     3     0    90   -98     0     0   233    -6
15328    1108      0  -422  -519  -479     0     0   336    19     0   -26     8     0     0     8   -77
16743     839      0  -544  -418  -627     0     0   545    47     0  -184    44     0     0    -2   -57
18505     627      0  -643  -294  -740     0     0   736   196     0  -269  -137     0     0    -1    13
20757     454      0  -646  -331  -943     0     0  1018   338     0  -111   -99     0     0    39   -75
23731     314      0  -594  -188 -1362     0     0  1270   150     0  -220  -243     0     0    35   -77
27839     206      0  -760   137 -2044     0     0  1280   356     0    -4  -278     0     0  -309  -177
33877     124      0 -1291   -92 -2423     0     0  1432   250     0   146   -72     0     0  -176   -15
43629      64      0 -1793  -495 -2901     0     0  1929   245     0   300   214     0     0    23   -56
62126      23      0 -2759  -470 -3332     0     0  2132   237     0   369   143     0     0  -252  -221

_________________________________________________________________________________________________________
Table 7.  Solstice, F10.7 = 180
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
_________________________________________________________________________________________________________
 6640   90231  -4708 -2148 -4214 -1833   -18   595   -99  -154   578  -255   147   280   448    83   347
 6648   86984  -4680 -2075 -4157 -1722   -21   546   -96  -161   497  -319   188   292   433    30   366
 6663   81618  -4585 -2024 -4077 -1689   -52   570  -136  -139   450  -259   181   222   437    37   341
 6686   75328  -4454 -1994 -4070 -1668   -65   536  -127  -143   472  -268   184   267   430    56   313
 6717   69094  -4366 -1912 -4038 -1616   -37   445   -77   -99   438  -249   170   217   416    62   263
 6756   63203  -4161 -1823 -3955 -1631   -47   423    -3   -90   478  -229   141   146   359    76   240
 6803   57974  -4142 -1734 -3833 -1566   -20   473    -9  -116   528  -239   105   118   309    22   214
 6859   53293  -3981 -1688 -3773 -1601   -40   469    32  -147   486  -273    97   122   362   -45   210
 6925   48932  -3770 -1585 -3720 -1590   -59   482     9  -140   510  -288    89   116   361   -46   190
 7000   44670  -3598 -1485 -3559 -1564   -95   450    26  -127   496  -250   108    93   346   -49   198
 7085   40733  -3453 -1375 -3436 -1513   -54   418     3  -121   486  -211    -7    49   344   -30   243
 7182   37100  -3307 -1323 -3337 -1517   -14   414    88  -119   400  -211     5    29   314    17   182
 7290   33616  -3082 -1217 -3191 -1450     0   343    69  -110   338  -266    32    72   295    15   162
 7410   30323  -2891 -1093 -3000 -1420   -28   304    18  -128   352  -216    12    31   296   -17   136
