                                                                                
                                                                                
      DATA TIME/ 1970.0/                                                09651890
      DATA PX/ -0.001191, -0.055963,  0.017338,  0.003764/              09651900
      DATA PY/ -0.001607, -0.038411,  0.020524, -0.012474/              09651910
      COMMON/LTABLE/T0(70)                                              09651920
      DATA T0/                                                          09651930
     X  -0.01613,-0.14358, 0.12300,-0.26524,-0.47284,-0.12704,-0.01428, 09651940
     X  -0.03773,-0.01950, 0.00334, 0.00746, 0.00005, 0.00238, 0.00052, 09651950
     X   0.00011, 0.16686,-0.08509, 0.11085,-0.43410,-0.19787,-0.09021, 09651960
     X  -0.02824,-0.00773,-0.00796, 0.00344, 0.00331, 0.00038, 0.00085, 09651970
     X   0.00002,-0.00000, 0.19861,-0.01086, 0.12404,-0.43760,-0.02802, 09651980
     X  -0.05630,-0.02883, 0.00270,-0.00628, 0.00230, 0.00143, 0.00008, 09651990
     X   0.00037,-0.00006, 0.00000, 0.14017, 0.04026, 0.11488,-0.32883, 09652000
     X   0.04949,-0.02955,-0.01884, 0.00289,-0.00449, 0.00103, 0.00045, 09652010
     X   0.00001, 0.00014,-0.00001,-0.00000, 0.06013, 0.06213, 0.07872, 09652020
     X  -0.13868, 0.04209,-0.00889,-0.00590, 0.00072,-0.00144, 0.00019/ 09652030
      COMMON/LTABLE/T1(70)                                              09652040
      DATA T1/                                                          09652050
     X   0.00004, 0.00002, 0.00002,-0.00001,-0.00003,-0.01324, 0.02546, 09652060
     X  -0.01401, 0.14266,-0.04928, 0.00737, 0.00438, 0.00187,-0.00050, 09652070
     X   0.00020, 0.00000, 0.00002,-0.00000, 0.00002, 0.00001,-0.04512, 09652080
     X  -0.04436,-0.07409, 0.42168,-0.18898, 0.01863, 0.01395, 0.01044, 09652090
     X  -0.00651, 0.00102, 0.00021, 0.00026,-0.00020, 0.00005,-0.00001, 09652100
     X   0.01881,-0.12568,-0.07438, 0.75069,-0.39460, 0.02048, 0.02576, 09652110
     X   0.02922,-0.02623, 0.00240, 0.00082, 0.00098,-0.00147, 0.00017, 09652120
     X  -0.00002, 0.20832,-0.22854,-0.01352, 1.17924,-0.68416, 0.00099, 09652130
     X   0.04163, 0.06623,-0.07387, 0.00217, 0.00351, 0.00285,-0.00668, 09652140
     X   0.00032, 0.00024, 0.58319,-0.37514, 0.09060, 1.78220,-1.08958/ 09652150
      COMMON/LTABLE/T2(70)                                              09652160
      DATA T2/                                                          09652170
     X  -0.06685, 0.06316, 0.14142,-0.17770,-0.00754, 0.01317, 0.00786, 09652180
     X  -0.02404,-0.00042, 0.00227, 0.13432, 0.05921, 0.77434,-0.61535, 09652190
     X  -0.33416,-0.26651,-0.09087,-0.10198,-0.10849, 0.01812, 0.01019, 09652200
     X   0.00004, 0.01064, 0.00086, 0.00156, 0.26657, 0.14828, 0.62547, 09652210
     X  -0.66815,-0.10233,-0.19943,-0.10529,-0.03771,-0.06422, 0.01304, 09652220
     X   0.00790, 0.00084, 0.00461,-0.00018, 0.00076, 0.25240, 0.20629, 09652230
     X   0.46096,-0.58415, 0.04354,-0.13673,-0.08598,-0.01123,-0.03872, 09652240
     X   0.00858, 0.00439, 0.00066, 0.00192,-0.00027, 0.00038, 0.16462, 09652250
     X   0.22174, 0.30403,-0.41125, 0.10198,-0.07861,-0.05173,-0.00385, 09652260
     X  -0.02137, 0.00450, 0.00156, 0.00050, 0.00070,-0.00012, 0.00017/ 09652270
      COMMON/LTABLE/T3(70)                                              09652280
      DATA T3/                                                          09652290
     X   0.06958, 0.20607, 0.17821,-0.16619, 0.07234,-0.02558,-0.01683, 09652300
     X  -0.00049,-0.00763, 0.00168, 0.00026, 0.00028, 0.00021,-0.00001, 09652310
     X   0.00006,-0.01524, 0.13443, 0.05461, 0.13540,-0.02658, 0.02343, 09652320
     X   0.01400, 0.00772, 0.00188, 0.00146, 0.00042, 0.00048, 0.00038, 09652330
     X   0.00004, 0.00006,-0.06835, 0.00795,-0.05171, 0.43868,-0.17010, 09652340
     X   0.06229, 0.04245, 0.02698, 0.00263, 0.00410, 0.00103, 0.00169, 09652350
     X   0.00084, 0.00018, 0.00016,-0.03521,-0.14226,-0.07289, 0.76274, 09652360
     X  -0.37321, 0.08151, 0.07106, 0.06245,-0.01147, 0.00795, 0.00225, 09652370
     X   0.00491,-0.00006, 0.00064, 0.00025, 0.10762,-0.32978, 0.02096, 09652380
     X   1.15357,-0.65304, 0.06601, 0.10380, 0.12552,-0.05410, 0.00943/ 09652390
      COMMON/LTABLE/T4(70)                                              09652400
      DATA T4/                                                          09652410
     X   0.00630, 0.01286,-0.00620, 0.00117, 0.00061, 0.37673,-0.58949, 09652420
     X   0.23838, 1.67731,-1.04133,-0.00240, 0.15507, 0.23760,-0.14553, 09652430
     X  -0.00301, 0.01956, 0.03259,-0.02754, 0.00020, 0.00387, 0.41005, 09652440
     X   0.36601, 1.07274,-0.92137, 0.00697,-0.30439,-0.20826,-0.07047, 09652450
     X  -0.14732, 0.02989, 0.01331,-0.00135, 0.00906,-0.00164, 0.00294, 09652460
     X  -0.00063, 0.00114, 0.00024,-0.00041, 0.00012, 0.32948, 0.42472, 09652470
     X   0.76313,-0.72535, 0.13011,-0.21644,-0.15669,-0.03130,-0.09118, 09652480
     X   0.02011, 0.00924, 0.00115, 0.00350,-0.00105, 0.00188,-0.00034, 09652490
     X   0.00057, 0.00005,-0.00018,-0.00004, 0.19510, 0.41471, 0.48739, 09652500
     X  -0.47909, 0.16790,-0.13018,-0.09082,-0.01685,-0.05097, 0.01204/ 09652510
      COMMON/LTABLE/T5(70)                                              09652520
      DATA T5/                                                          09652530
     X   0.00332, 0.00214, 0.00131,-0.00033, 0.00123,-0.00018, 0.00036, 09652540
     X  -0.00002,-0.00006,-0.00002, 0.06853, 0.35715, 0.27367,-0.19511, 09652550
     X   0.12251,-0.04306,-0.02915,-0.00406,-0.01884, 0.00633, 0.00071, 09652560
     X   0.00206, 0.00101, 0.00006, 0.00070,-0.00007, 0.00026,-0.00002, 09652570
     X   0.00003, 0.00001,-0.03874, 0.24447, 0.09015, 0.11208, 0.01999, 09652580
     X   0.04159, 0.02435, 0.01729, 0.00699, 0.00570, 0.00125, 0.00289, 09652590
     X   0.00293, 0.00023, 0.00084, 0.00012, 0.00029, 0.00001, 0.00006, 09652600
     X  -0.00000,-0.11450, 0.07418,-0.06640, 0.41990,-0.12506, 0.11681, 09652610
     X   0.07513, 0.05257, 0.02343, 0.01037, 0.00337, 0.00637, 0.00667, 09652620
     X   0.00039, 0.00167, 0.00027, 0.00048, 0.00005, 0.00020,-0.00004/ 09652630
      COMMON/LTABLE/T6(70)                                              09652640
      DATA T6/                                                          09652650
     X  -0.11266,-0.13212,-0.12047, 0.72985,-0.32793, 0.16961, 0.12619, 09652660
     X   0.10766, 0.02632, 0.01529, 0.00622, 0.01372, 0.00849, 0.00132, 09652670
     X   0.00273, 0.00079, 0.00069, 0.00007, 0.00003, 0.00015,-0.02513, 09652680
     X  -0.38881,-0.03847, 1.08059,-0.61592, 0.18912, 0.18195, 0.19474, 09652690
     X   0.00111, 0.01812, 0.01091, 0.03159, 0.00402, 0.00284, 0.00511, 09652700
     X   0.00254,-0.00006, 0.00004,-0.00024, 0.00063, 0.43184, 0.66596, 09652710
     X   1.06599,-0.86470, 0.22724,-0.29422,-0.24697,-0.04900,-0.15728, 09652720
