    0.24666662D 01   -0.13683125D 03    0.59551401D 02    0.20066287D 04    0.25113186D 00    0.59450860D 01
    0.24999990D 01   -0.13733269D 03    0.65213297D 02    0.20079226D 04    0.25734104D 00    0.88309604D 01
    0.25333328D 01   -0.13783418D 03    0.70873999D 02    0.20089687D 04    0.26172759D 00    0.14469980D 02
    0.25666666D 01   -0.13833578D 03    0.76533801D 02    0.20097201D 04   -0.10000000D 01   -0.10000000D 01
    0.25999994D 01   -0.13883769D 03    0.82193041D 02    0.20101406D 04   -0.10000000D 01   -0.10000000D 01
    0.26333332D 01   -0.13934248D 03    0.87852091D 02    0.20102071D 04   -0.10000000D 01   -0.10000000D 01
    0.26666660D 01    0.40163698D 02    0.86488661D 02    0.20099095D 04   -0.10000000D 01   -0.10000000D 01
    0.26999998D 01    0.39660537D 02    0.80828825D 02    0.20092519D 04   -0.10000000D 01   -0.10000000D 01
    0.27333326D 01    0.39158724D 02    0.75168023D 02    0.20082523D 04    0.25672826D 00    0.11065565D 02
    0.27666664D 01    0.38657140D 02    0.69505906D 02    0.20069419D 04    0.25129774D 00    0.70886062D 01
    0.27999992D 01    0.38155634D 02    0.63842167D 02    0.20053642D 04    0.24453370D 00    0.49408001D 01
    0.28333330D 01    0.37654164D 02    0.58176551D 02    0.20035733D 04    0.23643723D 00    0.36788920D 01
    0.28666658D 01    0.37152712D 02    0.52508870D 02    0.20016320D 04    0.22703689D 00    0.28832231D 01
    0.28999996D 01    0.36651271D 02    0.46839006D 02    0.19996096D 04    0.21639671D 00    0.23551939D 01
    0.29333324D 01    0.36149836D 02    0.41166922D 02    0.19975790D 04    0.20464678D 00    0.19913109D 01
    0.29666662D 01    0.35648405D 02    0.35492658D 02    0.19956144D 04    0.19204583D 00    0.17364999D 01
    0.29999990D 01    0.35146977D 02    0.29816333D 02    0.19937883D 04    0.17906398D 00    0.15570908D 01
    0.30333328D 01    0.34645550D 02    0.24138140D 02    0.19921684D 04    0.16644545D 00    0.14331637D 01
    0.30666666D 01    0.34144123D 02    0.18458341D 02    0.19908153D 04    0.15518355D 00    0.13548144D 01
    0.30999994D 01    0.33642694D 02    0.12777253D 02    0.19897798D 04    0.14633569D 00    0.13138632D 01
    0.31333332D 01    0.33141264D 02    0.70952420D 01    0.19891009D 04    0.14067331D 00    0.13040863D 01
    0.31666660D 01    0.32639832D 02    0.14127069D 01    0.19888044D 04    0.13832980D 00    0.13251337D 01
    0.31999998D 01    0.32138396D 02   -0.42699359D 01    0.19889014D 04    0.13872860D 00    0.13770847D 01
    0.32333326D 01    0.31636954D 02   -0.99522659D 01    0.19893883D 04    0.14089397D 00    0.14603984D 01
    0.32666664D 01    0.31135507D 02   -0.15633874D 02    0.19902465D 04    0.14391319D 00    0.15786322D 01
    0.32999992D 01    0.30634052D 02   -0.21314377D 02    0.19914434D 04    0.14725384D 00    0.17373983D 01
    0.33333330D 01    0.30132586D 02   -0.26993431D 02    0.19929338D 04    0.15083593D 00    0.19430045D 01
    0.33666658D 01    0.29631109D 02   -0.32670746D 02    0.19946616D 04    0.15492035D 00    0.22011247D 01
    0.33999996D 01    0.29129615D 02   -0.38346093D 02    0.19965624D 04    0.15991578D 00    0.25297283D 01
    0.34333324D 01    0.28628099D 02   -0.44019315D 02    0.19985655D 04    0.16619034D 00    0.29496801D 01
