// @(#)GEOTAIL_SURVEY.UCB.sparhawk.Regions.dat	1.2, 02/11/96
// Geotail Region Identification
   V 2.01               Coverage = 92 DOY 275 0000 through 94 DOY 060 0202
| Abbr  Description
| ----- -----------------------------------------------------------------------
| BL    Boundary Layer: mantle here; high B(>5g), +Bx(>4g), low dB, no EM waves
| BS    Bow Shock
| Cal   Calibration period
| d(cs) distance to current sheet
| FF    Fast Flow event
| FR    Flow Reversal
| LB    Lobe: mostly < 1 keV ions
| MG    Magnetosphere: ions > 1-5 keV, 1-10 keV electrons (e-)
| MS    Magnetosheath: low B (<5g), -Bx, high dB, EM waves, 1+ keV ions
| PS    Plasma Sheet: 100 eV+ ions, < ~1 keV electrons (e-)
| RF    Reduced Flow (sec p. 3)
| Rot   B rotation without boundary in plasma
| RTO   Repeated Transient Observations
| SW    Solar Wind
| Gap   No ID available due to a Gap in the data record
| ?     Unknown
| No_ID No ID characterizes the period

    Start          End
  Date/Time     Date/Time    Region      Notes
--------------------------------------------------
 92-302 2250 - 92-302 2305   FF         B rotation, low B, EPIC
 92-302 2310 - 92-303 0055   BL
 92-303 0100 - 92-303 0115   MS?        B rotation, low B, not FF
 92-303 0120 - 92-303 0835   BL         on & off e-?
 92-303 0840 - 92-303 0905   MS
 92-303 0910 - 92-303 1330   BL
 92-303 1330 - 92-303 1350   Gap
 92-303 1350 - 92-303 1432   BL
 92-303 1440 - 92-303 1510   MS
 92-303 1515 - 92-303 1540   BL
 92-303 1545 - 92-303 1626   MS
 92-303 1640 - 92-303 1755   MS
 92-303 1800 - 92-303 1955   BL
 92-303 2005 - 92-303 2200   MS/BL
 92-303 2202 - 92-303 2238   BL
 92-303 2240 - 92-303 2252   MS
 92-303 2310 - 92-304 0110   MS
 92-304 0115 - 92-304 0140   PS
 92-304 0142 - 92-304 0205   BL
 92-304 0210 - 92-304 0225   PS         low B
 92-304 0230 - 92-304 0400   BL
 92-304 0400 - 92-304 0420   BL/MS
 92-304 0420 - 92-304 0455   MS
 92-304 0500 - 92-304 0720   BL
 92-304 0720 - 92-304 0735   MS/BL
 92-304 0740 - 92-304 1135   BL
 92-304 1140 - 92-304 1200   MS
 92-304 1201 - 92-304 1208   Gap
 92-304 1210 - 92-304 1222   BL
 92-304 1225 - 92-304 1255   MS/BL
 92-304 1258 - 92-304 1348   BL
 92-304 1355 - 92-304 1505   MS
 92-304 1510 - 92-304 1640   BL
 92-304 1640 - 92-304 1653   Gap
 92-304 1653 - 92-304 1815   BL
 92-304 1820 - 92-304 2010   BL?        Flare    dB
 92-304 2010 - 92-304 2025   BL?        Flare    B rotation, B=0
 92-304 2030 - 92-305 0805   BL?        Flare    CPI high background
 92-305 0805 - 92-305 0830   MS?        Flare    CPI high background
 92-305 0835 - 92-305 1015   BL?        Flare    CPI high background
 92-305 1020 - 92-305 1240   MS?        Flare    CPI high background
 92-305 1240 - 92-305 1550   BL?        Flare    CPI high background
 92-305 1555 - 92-305 1620   FF?        Flare    B rot, low B, EPIC
 92-305 1630 - 92-305 2000   BL?        Flare    CPI high background
 92-305 2010 - 92-305 2019   MS?        Flare    CPI high background
 92-305 2020 - 92-305 2040   BL?        Flare    CPI high background
 92-305 2100 - 92-305 2330   MS?        Flare    CPI high background
 92-305 2330 - 92-306 0000   BL?        Flare    CPI high background
 92-306 0000 - 92-306 0030   MS?        Flare    CPI high background
 92-306 0030 - 92-306 0350   MS/BL?     Flare    CPI high background
 92-306 0400 - 92-306 0635   BL?        Flare
 92-306 0640 - 92-306 2150   MS?        Flare
 92-306 2150 - 92-306 2159   MS?        Flare    interplanetary shock?
 92-306 2200 - 92-307 0400   MS?        Flare
 92-307 0400 - 92-308 0235   MS?        Flare    CPI high background
 92-308 0240 - 92-308 0800   BL/MS?     Flare    CPI high background
 92-308 0800 - 92-308 1010   MS/BL?     Flare    CPI high background
 92-308 1010 - 92-308 1015   MS?        Flare    Bz - to +
 92-308 1015 - 92-308 1855   MS?        Flare
 92-308 1855 - 92-308 1930   MS/MG?     Flare
 92-308 1930 - 92-308 1955   MG?
 92-308 1955 - 92-308 2004   MS?
 92-308 2008 - 92-308 2022   MG?
 92-308 2026 - 92-308 2055   MS?
 92-308 2105 - 92-308 2230   MG?
 92-308 2235 - 92-308 2340   MS?
 92-308 2347 - 92-309 0022   MG?
 92-309 0025 - 92-309 0110   MS/MG?
 92-309 0110 - 92-309 0145   MG
 92-309 0145 - 92-309 0235   MS/MG
 92-309 0235 - 92-309 0305   MG
 92-309 0318 - 92-309 0420   MS
 92-309 0420 - 92-309 0505   MS/MG
 92-309 0505 - 92-309 0640   MG
 92-309 0647 - 92-309 1510   MS
 92-309 1518 - 92-309 1545   MS
 92-309 1552 - 92-309 1618   MS
 92-309 1620 - 92-309 1800   MG         RTO
 92-309 1800 - 92-310 1310   MG         perigee @ ~7, -0.4, -0.3 on 92/310
 92-310 1318 - 92-310 1340   BL
 92-310 1350 - 92-310 1442   BL
 92-310 1452 - 92-310 1520   BL
 92-310 1528 - 92-310 1908   MG
 92-310 1912 - 92-310 2350   BL
 92-310 2350 - 92-311 0005   BL/PS
 92-311 0005 - 92-311 1015   BL
 92-311 1015 - 92-311 1315   MS
 92-311 1315 - 92-311 1500   BL/MS      see EPIC, 1315
 92-311 1510 - 92-311 1525   BL/PS
 92-311 1535 - 92-311 1715   BL
 92-311 1720 - 92-311 1850   MS
 92-311 1850 - 92-311 1920   BL/PS
 92-311 1920 - 92-311 2135   PS
 92-311 2138 - 92-311 2143   BL
 92-311 2147 - 92-311 2210   PS
 92-311 2210 - 92-311 2250   PS/BL
 92-311 2252 - 92-311 2310   BL
 92-311 2310 - 92-311 2315   Gap
 92-311 2315 - 92-311 2335   BL/MS
 92-311 2335 - 92-312 0010   MS
 92-312 0010 - 92-312 0015   Gap
 92-312 0015 - 92-312 0310   MS
 92-312 0315 - 92-312 0330   BL
 92-312 0335 - 92-312 0455   PS
 92-312 0500 - 92-312 0518   BL
 92-312 0518 - 92-312 0520   Gap
 92-312 0520 - 92-312 0630   BL
 92-312 0635 - 92-312 0645   PS
 92-312 0650 - 92-312 0712   BL/MS      see EPIC
 92-312 0715 - 92-312 0820   MS
 92-312 0820 - 92-312 0905   BL/PS
 92-312 0910 - 92-312 1045   PS
 92-312 1050 - 92-312 1059   BL/MS
 92-312 1100 - 92-312 1150   Cal
 92-312 1150 - 92-312 1340   Gap
 92-312 1340 - 92-312 1450   Cal
 92-312 1520 - 92-312 1555   BL
 92-312 1600 - 92-312 1735   MS
 92-312 1740 - 92-312 1858   BL
 92-312 1900 - 92-312 1919   PS
 92-312 1921 - 92-312 1928   BL
 92-312 1935 - 92-312 2058   PS
 92-312 2102 - 92-312 2125   PS/BL
 92-312 2128 - 92-312 2212   BL
 92-312 2212 - 92-312 2218   PS/BL
 92-312 2220 - 92-312 2230   PS
 92-312 2230 - 92-312 2245   Gap
 92-312 2245 - 92-312 2310   PS
 92-312 2310 - 92-312 2348   Gap
 92-312 2348 - 92-313 0315   MS
 92-313 0315 - 92-313 0400   MS/BL
 92-313 0402 - 92-313 0450   MS
 92-313 0455 - 92-313 0504   BL
 92-313 0510 - 92-313 0703   PS
 92-313 0707 - 92-313 0835   BL
 92-313 0840 - 92-313 1030   BL/PS      RTO  see EPIC
 92-313 1035 - 92-313 1135   BL
 92-313 1140 - 92-313 1215   PS/BL
 92-313 1215 - 92-313 1410   BL/PS
 92-313 1415 - 92-313 1530   BL
 92-313 1530 - 92-313 1550   BL/PS
 92-313 1552 - 92-313 1622   BL
 92-313 1625 - 92-313 2005   PS
 92-313 2005 - 92-313 2035   BL
 92-313 2035 - 92-313 2050   PS
 92-313 2050 - 92-313 2110   BL/PS
 92-313 2112 - 92-313 2137   PS
 92-313 2137 - 92-313 2210   BL/PS
 92-313 2215 - 92-313 2250   BL
 92-313 2255 - 92-314 0035   MS
 92-314 0040 - 92-314 0200   MS/BL
 92-314 0200 - 92-314 0730   MS
 92-314 0735 - 92-314 0750   MS/BL
 92-314 0755 - 92-314 1055   MS
 92-314 1100 - 92-314 1125   BL/PS
 92-314 1127 - 92-314 1220   PS
 92-314 1225 - 92-314 1705   BL         clear BL, MP 1710
 92-314 1710 - 92-314 1750   MS
 92-314 1750 - 92-314 1810   BL/MS
 92-314 1810 - 92-314 1830   MS
 92-314 1830 - 92-314 1910   BL/MS
 92-314 1910 - 92-314 2100   MS
 92-314 2105 - 92-314 2140   BL
 92-314 2145 - 92-314 2155   MS
 92-314 2200 - 92-314 2220   BL/PS
 92-314 2220 - 92-314 2238   PS
 92-314 2240 - 92-314 2249   BL
 92-314 2252 - 92-314 2315   PS
 92-314 2315 - 92-314 2335   BL/PS
 92-314 2340 - 92-315 0225   BL         see EPIC
 92-315 0230 - 92-315 0357   PS         LB? 0250 to 0310
 92-315 0402 - 92-315 0720   BL         clear BL yet low EPIC
 92-315 0725 - 92-315 0750   PS
 92-315 0753 - 92-315 0758   BL?
 92-315 0800 - 92-315 0938   PS
 92-315 0942 - 92-315 0949   BL?
 92-315 0950 - 92-315 1058   PS
 92-315 1100 - 92-315 1200   BL/PS
 92-315 1210 - 92-315 1222   LB
 92-315 1223 - 92-315 1625   PS
 92-315 1630 - 92-315 1722   BL
 92-315 1728 - 92-315 1810   PS
 92-315 1815 - 92-315 1910   BL         high E ions & low V
 92-315 1915 - 92-315 2110   BL/PS
 92-315 2130 - 92-315 2145   LB
 92-315 2200 - 92-315 2208   PS         earthward flow
 92-315 2210 - 92-315 2320   BL
 92-315 2322 - 92-315 2330   PS
 92-315 2332 - 92-315 2340   BL
 92-315 2342 - 92-315 2352   LB
 92-315 2352 - 92-316 0002   PS
 92-316 0002 - 92-316 0026   PS
 92-316 0030 - 92-316 0145   BL
 92-316 0147 - 92-316 0207   PS
 92-316 0209 - 92-316 0218   LB?
 92-316 0220 - 92-316 0232   PS
 92-316 0235 - 92-316 0650   BL         clear & long mantle
